------------------------------Shoppingandmore34@hotmail.com
ID: 1838324
Report type: tracking_landing_pages
Period: 20190212 - 20190219
Tags: 27
URL filter: https//Cashbackdeals.de
------------------------------

Url,20190212_average,Average_difference,20190219_average,20190212_keywords_count,Keywords_count_difference,20190219_keywords_count,20190212_estimated_traffic,Estimated_traffic_difference,20190219_estimated_traffic,20190212_volume,Volume_difference,20190219_volume,Keyword,20190212_position,Position_difference,20190219_position,Volume
https://www.cashbackdeals.de/user/login.php?ReturnUrl=/user/cashmail.php,100.000000,46.000000,54.000000,0,1,1,0.000000,1.895667,1.895667,0,12100,12100,facebook einloggen,-,46,54,12100
https://www.cashbackdeals.de/review/restposten24.php,10.000000,1.000000,9.000000,1,0,1,1.760000,0.640000,2.400000,2400,0,2400,restposten24,10,1,9,2400
https://www.cashbackdeals.de/lead/special.php,100.000000,96.000000,4.000000,0,1,1,0.000000,0.368667,0.368667,0,140,140,cashback de,-,96,4,140
https://www.cashbackdeals.de/static/faq.php?catid=15&faqid=141,7.000000,2.000000,5.000000,1,0,1,0.608000,0.368000,0.976000,480,0,480,cashsparen,7,2,5,480
https://www.cashbackdeals.de/static/top-campaigns.php?id=5920,100.000000,65.000000,35.000000,0,1,1,0.000000,0.062400,0.062400,0,260,260,prime scratch,-,65,35,260
https://www.cashbackdeals.de/review/prime-scratch-cards.php,100.000000,64.000000,36.000000,0,1,1,0.000000,0.060667,0.060667,0,260,260,prime scratch,-,64,36,260
https://www.cashbackdeals.de/,21.250000,-17.250000,38.500000,4,-1,3,7.674000,0.050400,7.724400,1930,-480,1450,cashback de,6,3,3,140
https://www.cashbackdeals.de/,21.250000,-17.250000,38.500000,4,-1,3,7.674000,0.050400,7.724400,1930,-480,1450,cashback vergleich,66,16,50,720
https://www.cashbackdeals.de/,21.250000,-17.250000,38.500000,4,-1,3,7.674000,0.050400,7.724400,1930,-480,1450,cashbackdeals,1,0,1,590
https://www.cashbackdeals.de/,21.250000,-17.250000,38.500000,4,-1,3,7.674000,0.050400,7.724400,1930,-480,1450,cashsparen,12,-88,-,480
https://www.cashbackdeals.de/popup/tellfriend.php?store=lieblingsmensch24de-de,16.000000,3.000000,13.000000,1,0,1,0.104000,0.017333,0.121333,260,0,260,lieblingsmensch24 de,16,3,13,260
https://www.cashbackdeals.de/store/worldlotteryclub-eurojackpot.php,19.000000,-3.000000,22.000000,1,0,1,0.014667,-0.001600,0.013067,40,0,40,world lottery club,19,-3,22,40
https://www.cashbackdeals.de/lead/special.php?lead=1,5.000000,-95.000000,100.000000,1,-1,0,0.284667,-0.284667,0.000000,140,-140,0,cashback de,5,-95,-,140
https://www.cashbackdeals.de/user/login.php,86.000000,-14.000000,100.000000,1,-1,0,0.605000,-0.605000,0.000000,12100,-12100,0,facebook einloggen,86,-14,-,12100
